127.0.0.1 - - [22/Dec/2018:21:43:18 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:43:19 +0530] "GET /KBC/Index.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:43:21 +0530] "GET /KBC/Index.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:43:30 +0530] "GET /KBC/Login?uname=Jayant&pass=123&submit=Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:43:30 +0530] "GET /KBC/Index.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:43:38 +0530] "GET /KBC/Login?uname=jayant&pass=123&submit=Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:43:38 +0530] "GET /KBC/Welcome.jsp HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:43:42 +0530] "GET /KBC/Logout?submit=Logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:43:42 +0530] "GET /KBC/Index.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:43:43 +0530] "GET /KBC/SignUp?submit=Sign+Up HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:43:43 +0530] "GET /KBC/Signup.jsp HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:43:52 +0530] "GET /KBC/Results?first=Jayant&last=Agarwal&email=jayantagarwal777%40gmail.com&gender=Male&state=JH&submit=Submit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:43:52 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 567
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:43:59 +0530] "GET /KBC/Results?first=Jayant&last=Agarwal&email=jayantagarwal777%40gmail.com&gender=Male&state=JH&submit=Submit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:43:59 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 567
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:44:23 +0530] "GET /KBC/Results?first=Jayant&last=Agarwal&email=jayantagarwal777%40gmail.com&gender=Male&state=JH&submit=Submit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:44:24 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 593
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:50:31 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:52:06 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:52:07 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:52:07 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:52:08 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:52:08 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:52:08 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:52:14 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:52:15 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:52:15 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:52:15 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 778
